2026-04-30 18:13:52.118054,"“hola”
“busco depto en molas”“cuánto cuesta”","¡Hola! 😊 Para poder ayudarte mejor, ¿puedes decirme cuál es tu presupuesto aproximado y qué características buscas en el departamento? Así te muestro las mejores opciones en Molas López.",NO
2026-04-30 22:36:27.528847,hola,¡Hola! ¿Cómo puedo ayudarte hoy en tu búsqueda de propiedad?,NO
2026-04-30 22:37:47.261956,busco departamentos por villa morra,¡Claro! ¿Tienes un presupuesto aproximado en mente? También sería útil saber cuántos dormitorios buscas y si prefieres algún tipo de amenidades. ,NO
2026-04-30 22:38:49.449206,tengo 300.000 gs y busco de 3 dormitorios con picina y gimnasio,"¿Buscas en alguna zona en particular, como Asunción o San Bernardino? ¿O hay alguna preferencia sobre el tipo de propiedad? Con tu presupuesto, puedo ayudarte a encontrar algunas opciones.",NO
2026-04-30 22:41:49.323078,asuncion,"Perfecto. ¿Qué tipo de propiedad buscas en Asunción? ¿Un departamento, casa o algo más? También, ¿cuál es tu presupuesto aproximado?",NO
2026-04-30 22:42:19.959890,"un departamento, cuanto suele ser el presupuento por esa zona","Claro, ¿en qué zona estás interesado? Por ejemplo, Asunción o Molas López tienen diferentes rangos de precios. También, ¿tienes un presupuesto específico en mente?",SI
2026-04-30 22:43:10.500648,en zona villa morra hay algo disponible? por 200 mil?,"Actualmente no tengo propiedades específicas en Villa Morra, pero puedo ofrecerte opciones en zonas cercanas que podrían ajustarse a tu presupuesto. ¿Te interesa explorar propiedades en Asunción o Molas López con ese rango de precio?",SI
2026-04-30 22:43:27.448894,molas lopez,"¡Perfecto! ¿Qué tipo de propiedad estás buscando en Molas López? ¿Un departamento, una casa o algo comercial? Además, ¿cuál es tu presupuesto aproximado?",NO
2026-04-30 22:43:38.238669,departametno,"Perfecto, ¿en qué zona te gustaría comprar el departamento? Y también, ¿cuál es tu presupuesto aproximado?",NO
2026-04-30 22:44:06.334141,"molas lopez, un departamento de 2 habitaciones de 200 mil",Entiendo que buscas un departamento de 2 habitaciones en Molas López con un presupuesto de 200 mil. Te puedo pasar 2 o 3 opciones en esa zona 👇. ¿Te gustaría que te envíe información sobre algunas propiedades disponibles?,NO
2026-05-01 00:42:33.054268,"si, por favor","Claro, ¿podrías indicarme en qué zona te interesa más buscar? Además, me gustaría saber tu presupuesto y qué tipo de propiedad prefieres (departamento, casa, local comercial). Esto me ayudará a ofrecerte opciones más específicas.",NO
2026-05-01 00:50:08.457648,hola,¡Hola! ¿Cómo puedo ayudarte hoy en tu búsqueda de propiedades?,NO
2026-05-01 01:10:02.287040,hols,¡Hola! ¿Cómo estás? ¿En qué puedo ayudarte hoy? 😊,NO
2026-05-01 01:13:01.544456,busco un alquilar un departamneto en molas,"Perfecto, ¿tienes un presupuesto en mente? Y, ¿qué tipo de departamento estás buscando? 😊",NO
2026-05-22 17:36:52.109847,¿Tiene patio?,"¿Te referís a una casa o un departamento? Y, ¿en qué zona estás buscando? 😊",FRIO
2026-05-22 17:39:16.382158,quiero comprar un departamento,"¡Buenísimo! ¿Tenés algún presupuesto en mente y preferís alguna zona en particular, como Asunción o Molas López?

🔥 Tengo opciones que te pueden encajar muy bien. Si querés te paso algunas ahora mismo o coordinamos una visita 👇",CALIENTE 🔥
2026-05-22 17:39:37.395304,tengo presupuesto de 150 mil usd,"¡Genial! Con ese presupuesto, tienes buenas opciones. ¿Te interesa más comprar una casa o un departamento? Y, ¿tienes alguna zona preferida, como Asunción o San Bernardino? 🏡

🔥 Tengo opciones que te pueden encajar muy bien. Si querés te paso algunas ahora mismo o coordinamos una visita 👇",CALIENTE 🔥
2026-05-22 18:48:50.893898,Tengo 150 mil USD y busco un departamento en Asunción,"¡Perfecto! Con un presupuesto de 150,000 USD, tienes varias opciones interesantes. 

Te recomendaría considerar el ""Edificio Ventura Ykua Sati"", que tiene precios desde 100,000 USD y ofrece departamentos de 1, 2 y 3 dormitorios con financiación propia. Esta opción es muy atractiva, sobre todo porque la entrega es en 2027 y 2028, lo que te da tiempo para planificar.

Para ayudarte mejor, ¿hay alguna zona específica de Asunción que prefieras? Y además, ¿qué tipo de departamento estás buscando?

🔥 Tengo opciones que te pueden encajar muy bien.

Si querés podemos coordinar una visita o seguir por WhatsApp 👇
",CALIENTE 🔥
2026-05-22 19:17:46.634938,Hola,"¡Hola! ¿Cómo estás? ¿En qué puedo ayudarte hoy con respecto a propiedades en Paraguay? Si tienes alguna idea en mente, también es un buen momento para compartirme tu presupuesto, zona e tipo de propiedad que estás buscando. ¡Estoy aquí para ayudarte!",FRIO
